No.;Kode;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /;Kelompok;Sumber
;Baru;⇲;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Retinol;β-karoten;Karoten;Thiamin;Riboflavin;Niasin;Vitamin C;BDD;Olahan;Makanan;TKPI 2019
;⇲;;⇲;⇲;⇲;⇲;⇲;⇲;⇲;(Ca)  ⇲;(P)  ⇲;(Fe)  ⇲;(Na)  ⇲;(Ka)  ⇲;(Cu)  ⇲;(Zn)  ⇲;(vit. A)  ⇲;⇲;total  ⇲;(vit. B1)  ⇲;(vit. B2)  ⇲;⇲;⇲;⇲;⇲;⇲;⇲
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;
27;CP085;Tepung Jalejo;10;388;19;7,5;61,2;5,8;2,3;101;663;2;3;712;0,6;1,9;-;1.000;0,1;0,02;0,7;1,6;9;100;Olahan;Kacang;BKP
28;BP068;Tepung Mocaf;11,9;350;1,2;0,6;85;6;1,3;60;64;15,8;8;403;0,1;0,6;-;-;-;0,02;0,02;0,7;2;100;Olahan;Umbi;BKP
29;EP014;Tepung Pisang;13,8;338;2,9;0,4;80,6;5,3;2,1;23;62;4;18;734;0,1;0,5;-;13.000;1;0,02;0,02;1;2;100;Olahan;Buah;BKP
30;BP069;Tepung Sente;15,3;326;4;0,4;76,7;8,5;3,6;41;141;3,5;14;1.602,00;0,4;1,4;-;-;-;0,02;0,2;7,7;0,2;100;Olahan;Umbi;BKP
31;EP015;Tepung Sukun;10,1;353;2,9;0,5;84,4;3,7;2,1;100;85;4,6;9;2.008,00;0,1;0,6;-;-;-;0,4;0,02;0,1;3;100;Olahan;Buah;BKP
32;BP071;Tepung Tales Beneng;12,2;332;5,7;0,6;76,1;12,2;5,5;59;302;10,7;7;1.404,00;0,8;6,2;-;0,2;-;0,02;0,1;0,3;0,2;100;Olahan;Umbi;BKP
33;BP072;Tepung Ubi Ungu;9,4;354;2,8;0,6;84,4;12,9;2,8;89;125;3,9;42;940;0,8;0,6;-;-;-;0,4;0,02;-;0,2;100;Olahan;Umbi;BKP
34;BP073;Tiwul;11,2;353;2,4;1,1;83,4;6,5;1,6;55;95;4,7;5;670;0,2;0,8;-;-;-;0,02;0,02;0,1;3;100;Olahan;Umbi;BKP
35;BP074;Tiwul Instan;9,1;395;3,2;8,5;76,5;4,2;2,7;81;81;5,8;377;469;2,1;1,2;-;-;-;0,4;0,2;0,2;4;100;Olahan;Umbi;BKP
36;BP075;Ubi Cilembu;52,7;186;1,9;0,2;44,3;3,4;0,9;37;51;0,6;62;61,9;0,1;0,2;-;26.000;-;0,02;0,2;-;0,3;90;Olahan;Umbi;BKP
37;BR033;Umbi Uwi, segar;69,7;120;2,8;0,5;82,3;2,6;0,9;9;42;1,3;412;412;0,3;0,6;-;-;-;0,02;0,5;0,2;4;86;Tunggal;Umbi;BKP
38;BR005;Bengkuang, segar;85,1;59;1,4;0,2;12,8;1;0,5;15;18;0,6;2;244,3;0,1;0,3;-;-;-;0,04;0,1;0,2;20;84;Tunggal;Umbi;DABM-1964
39;MP004;Coklat bubuk;3,9;311;8;4;48,9;32,6;15,4;125;715;11,6;-;-;-;-;-;-;30;0,12;-;0,6;-;-;Olahan;Gula;DABM-1964
40;MP001;Coklat manis, batang;1,4;527;2;29,8;62,7;6,5;4,1;63;287;2,8;6;499,5;-;0;-;-;30;0,03;0,02;-;-;100;Olahan;Gula;DABM-1964
41;MP002;Coklat pahit,batang;2,3;615;5,5;42,6;29,2;10,8;10,1;98;446;4,4;20;708,3;1,7;3,3;-;2;60;0,05;0,08;1;-;100;Olahan;Gula;DABM-1964
42;MP003;Coklat susu, batang;1;565;9;35;53,6;3,4;1,4;200;200;2;100;405,5;0,49;2,3;-;54;30;0,08;0,45;0,5;-;100;Olahan;Gula;DABM-1964
43;MP005;Gula aren;7;368;-;-;92;-;1;75;35;3;15;390,4;0,04;26,4;-;-;-;-;0,01;0,5;-;100;Olahan;Gula;DABM-1964
44;MP006;Gula kelapa;10;386;3;10;76;-;1;76;37;2,6;2;-;-;-;-;-;-;-;0,34;0,5;-;100;Olahan;Gula;DABM-1964
45;MP007;Gula putih;5,4;394;-;-;94;-;0,6;5;1;0,1;1;4,8;-;0;-;-;-;-;-;-;-;100;Olahan;Gula;DABM-1964
46;GP004;Ikan asin, kering;40;193;42;1,5;-;-;16,5;200;300;2,5;-;-;-;-;-;-;-;0,01;-;-;-;70;Olahan;Ikan dsb;DABM-1964
47;GR001;Ikan bader, segar;66;193;19;13;-;-;2;48;150;0,4;118;264,9;0,1;0,2;45;-;-;0,01;0,1;4,1;-;-;Tunggal;Ikan dsb;DABM-1964
48;GR004;Ikan bandeng, segar;74;123;20;4,8;-;-;1,2;20;150;2;67;271,1;-;0,9;45;21;-;0,05;0,1;6;-;-;Tunggal;Ikan dsb;DABM-1964
49;GR009;Ikan bawal, segar;78;91;19;1,7;-;-;1,3;20;150;2;129;233,3;0,1;0,3;45;-;-;0,05;0,1;1,8;-;-;Tunggal;Ikan dsb;DABM-1964
50;GR013;Ikan beunteur, segar;70;109;17;4;-;-;9;500;500;1;109;323,5;0,6;1,3;45;-;-;0,05;0,1;2,6;-;-;Tunggal;Ikan dsb;DABM-1964
51;GP012;Ikan Gabus, kering;24;268;58;4;-;-;14;15;100;0,1;-;-;-;-;30;-;-;0,1;-;-;-;80;Olahan;Ikan dsb;DABM-1964
52;GR030;Ikan kakap, segar;77;92;20;0,7;-;-;2,3;20;200;1;-;-;-;-;9;-;-;0,05;-;-;-;-;Tunggal;Ikan dsb;DABM-1964
53;GR046;Ikan layang, segar;74;109;22;1,7;-;-;2,3;50;150;2;-;-;-;-;45;-;-;0,05;-;-;-;80;Tunggal;Ikan dsb;DABM-1964
54;GR049;Ikan lemuru, segar;76;112;20;3;-;-;1;20;100;1;-;-;-;-;30;-;-;0,05;-;-;-;80;Tunggal;Ikan dsb;DABM-1964
55;GR054;Ikan mas, segar;80;86;16;2;-;-;2;20;150;2;65;276,7;0,1;1,1;45;8;-;0,05;0,1;2,6;-;80;Tunggal;Ikan dsb;DABM-1964
56;GR058;Ikan paling, segar;58;303;14;27;-;-;1;20;200;1;43;-;-;-;485;-;-;0,1;-;-;2;100;Tunggal;Ikan dsb;DABM-1964
57;GP025;Ikan peda banjar, mentah;46;156;28;4;2;-;20;174;316;3,1;59;368,8;-;0,5;33;4;-;0,1;0,1;4,7;-;90;Olahan;Ikan dsb;DABM-1964
58;GP034;Ikan selar kuning, cue, mentah;59;138;27;3,3;-;-;0,7;50;100;2;-;-;-;-;45;-;-;0,1;-;-;-;90;Olahan;Ikan dsb;DABM-1964
59;GR067;Ikan selar, segar;75,4;100;18,8;2,2;-;-;3,6;40;179;0,5;43;392,6;0,1;0,3;45;-;-;0,37;0,2;3,4;-;48;Tunggal;Ikan dsb;DABM-1964
60;GR075;Ikan tembang, segar;65;204;16;15;-;-;4;20;200;2;341;291;0,4;2,6;30;-;-;0,05;-;5,6;-;80;Tunggal;Ikan dsb;DABM-1964
61;MP008;Jam, selai;34;239;0,5;0,6;64,5;1;0,4;20;20;1;30;73,1;0,09;-;-;-;-;0,01;0,07;0;-;100;Olahan;Gula;DABM-1964
62;BR014;Kentang hitam, segar;64;142;0,9;0,4;33,7;5,4;1;34;75;0,2;22;890,3;0,9;0,6;-;-;-;0,02;0,1;2,2;38;75;Tunggal;Umbi;DABM-1964
63;GR037;Keong, segar;81;64;12;1;2;-;4;217;78;1,7;231;9;0,37;0,1;-;244;-;-;-;-;-;46;Tunggal;Ikan dsb;DABM-1964
64;GR038;Kepiting, segar;68,1;151;13,8;3,8;14,1;-;0,2;210;250;1,1;-;-;-;-;61;-;-;0,05;-;-;-;45;Tunggal;Ikan dsb;DABM-1964
65;GR042;Kodok, segar;81,9;73;16,4;0,3;-;-;1,4;18;147;1,1;-;-;-;-;-;-;-;0,14;-;-;-;65;Tunggal;Ikan dsb;DABM-1964
66;GR043;Kura-kura, segar;80;83;19,1;0,2;-;-;0,7;27;87;0,7;-;-;-;-;-;-;-;0,2;-;-;-;70;Tunggal;Ikan dsb;DABM-1964
67;MP010;Madu;20;294;0,3;-;79,5;0,2;0,2;5;16;0,9;6;26,9;0,04;0,2;-;-;-;-;0,04;0,1;4;100;Olahan;Gula;DABM-1964
68;MP013;Melase;21,2;276;-;0,1;71;-;7,7;6;83;0,6;14;-;-;0,3;-;-;-;0,04;-;-;-;100;Olahan;Gula;DABM-1964
69;KP002;Mentega;16;742;0,5;81,6;1,4;-;1,9;15;16;1,1;653;103;-;0,4;1.000;155;-;-;0,1;-;-;100;Olahan;Lemak;DABM-1964
70;KR014;Minyak Zaitun;-;884;-;100;-;-;-;14;-;1,2;7;-;-;-;-;-;-;-;-;5;-;100;Tunggal;Lemak;DABM-1964
