No.;Kode;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /;Kelompok;Sumber
;Baru;⇲;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Retinol;β-karoten;Karoten;Thiamin;Riboflavin;Niasin;Vitamin C;BDD;Olahan;Makanan;TKPI 2019
;⇲;;⇲;⇲;⇲;⇲;⇲;⇲;⇲;(Ca)  ⇲;(P)  ⇲;(Fe)  ⇲;(Na)  ⇲;(Ka)  ⇲;(Cu)  ⇲;(Zn)  ⇲;(vit. A)  ⇲;⇲;total  ⇲;(vit. B1)  ⇲;(vit. B2)  ⇲;⇲;⇲;⇲;⇲;⇲;⇲
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;
112;CP021;Bungkil kacang tanah;14;336;37,4;13;30,5;-;33,1;730;470;30,7;-;-;-;-;-;-;-;0,04;-;-;-;100;Olahan;Kacang;DABM-1964
113;CP022;Bungkil kelapa;16;368;23;15;40;-;38;137;433;41,5;-;-;-;-;-;-;-;-;0,46;8,9;-;100;Olahan;Kacang;DABM-1964
114;FR015;Burung, sarang, segar;24,8;281;37,5;0,3;32,1;-;5,3;485;18;3;-;-;-;-;-;-;-;-;-;-;-;100;Tunggal;Daging;DABM-1964
115;NR012;Cabai hijau, segar;93,4;26;0,7;0,3;5,2;2,6;0,4;14;23;0,4;7;151;0,08;0,2;-;44;260;0,05;0,06;0,4;84;82;Tunggal;Bumbu;DABM-1964
116;NR013;Cabai merah, kering;10;367;15,9;6,2;61,8;26,9;6,1;160;370;2,3;25;181,5;1,2;1,8;-;10.955;576;0,4;1,36;4,4;50;85;Tunggal;Bumbu;DABM-1964
117;NR014;Cabai merah, segar;90,9;36;1;0,3;7,3;1,4;0,5;29;24;0,5;23;272,4;0,12;0,2;-;5.833;470;0,05;0,09;3;18;85;Tunggal;Bumbu;DABM-1964
118;NR015;Cabai rawit, segar;71,2;120;4,7;2,4;19,9;15,2;1,8;45;85;2,5;34;706,2;0,29;0,6;-;1.694;11.050;0,24;0,09;1,7;70;85;Tunggal;Bumbu;DABM-1964
119;AR014;Cantel, mentah;11;366;11;3,3;73;1,2;1,7;28;287;4,4;7;249;-;-;-;-;-;0,09;0,14;2,8;-;100;Tunggal;Serealia;DABM-1964
120;ER021;Cempedak, segar;67;116;3;0,4;28,6;3,4;1;20;30;1,5;26;243,7;-;-;-;79;200;-;-;0,5;15;30;Tunggal;Buah;DABM-1964
121;NR016;Cengkeh, kering;23,3;330;5,2;8,9;57,4;10;5,2;740;100;4,9;282;961;0,3;-;-;265;-;200;-;-;-;100;Tunggal;Bumbu;DABM-1964
122;NP004;Cuka;94,5;21;0,1;0,1;5;-;0,3;7;10;0,5;21;37,8;-;-;-;-;-;0,24;-;0,7;-;100;Olahan;Bumbu;DABM-1964
123;DR021;Daun bluntas, segar;86;44;1,8;0,5;9,4;-;2,3;256;49;5,6;-;-;-;-;-;-;3.980;0,02;-;-;30;65;Tunggal;Sayur;DABM-1964
124;DR022;Daun gandaria, segar;81;63;3,1;0,3;14;2,1;1,6;40;45;4,7;3;127,7;-;-;-;503;600;0,04;0,04;0,2;61;65;Tunggal;Sayur;DABM-1964
125;DR028;Daun jambu mete muda, segar;78;78;4,6;0,5;16,2;3;0,7;33;64;8,9;14;670,5;-;-;-;4.484;2.689;0,02;1,12;1,1;65;65;Tunggal;Sayur;DABM-1964
126;DR036;Daun kecipir, segar;85;52;5;0,5;8,5;-;1;134;81;6,2;6;114;0,3;0,8;-;3.981;5.240;0,28;0,4;2,2;29;70;Tunggal;Sayur;DABM-1964
127;DR037;Daun kedondong, segar;81;59;3,5;0,3;13,4;10,7;1,8;540;82;6,2;12;579;-;-;-;1.624;2.900;0,06;0,2;1,5;29;65;Tunggal;Sayur;DABM-1964
128;DR039;Daun kemangi, segar;85;43;5,5;0,3;7,5;8,4;1,7;35;106;1;10;457,1;-;-;-;1.282;1.017;0,06;0,1;1,2;30;65;Tunggal;Sayur;DABM-1964
129;DR043;Daun koro, segar;91;23;3;0,3;3,7;-;2;134;81;6,2;4;68,4;0,2;0,5;-;2.386;5.240;0,28;0,2;1,3;29;65;Tunggal;Sayur;DABM-1964
130;DR046;Daun labu siam, segar;89,7;34;4;0,4;4,7;3,5;1,2;58;70;2,5;16;630,7;0,2;0,3;-;4.773;2.025;0,08;0,4;1,7;16;100;Tunggal;Sayur;DABM-1964
131;DR047;Daun labu waluh/kuning, segar;89,7;34;3,6;0,6;4,5;2,9;1,6;138;99;3,7;16;630,7;0,2;0,3;-;1.258;2.750;0,14;0,2;1,3;36;70;Tunggal;Sayur;DABM-1964
132;DR050;Daun leunca, segar;85;49;4,7;0,5;8,1;-;1,7;210;80;6,1;-;-;-;-;-;-;1.900;0,14;-;-;40;70;Tunggal;Sayur;DABM-1964
133;DR052;Daun lompong talas, segar;87,2;44;3;0,8;7,4;3,3;1,6;76;59;1;3;578,4;0,2;0,4;-;2.584;2.000;0,08;0,4;1,4;31;75;Tunggal;Sayur;DABM-1964
134;DR053;Daun mangkokan, segar;82;57;3,7;0,3;11,8;-;2,2;474;49;4;-;-;-;-;-;-;5.450;0,06;-;-;83;80;Tunggal;Sayur;DABM-1964
135;DR055;Daun melinjo, segar;70,8;104;5;1,3;21,3;10,3;1,6;219;82;4,2;12;604,8;0,4;0,6;-;823;10.000;0,09;-;-;182;88;Tunggal;Sayur;DABM-1964
136;DR058;Daun oyong, segar;93;22;1;0,1;5,3;2;0,6;21;44;2;40;295,5;0,1;0,2;-;855;1.000;0,08;0,1;0,8;150;65;Tunggal;Sayur;DABM-1964
137;DR065;Daun pepaya, segar;75,4;87;8;2;11,9;1,5;2,7;353;63;0,8;4;926,6;0,2;1,5;-;5.409;18.250;0,15;0,5;1,9;140;71;Tunggal;Sayur;DABM-1964
138;DR072;Daun singkong ambon, segar;58;144;12,7;1,2;25,2;10,2;2,9;165;54;3,9;44;62,2;0,2;5,4;-;8.627;13.000;0,21;1;4,2;220;87;Tunggal;Sayur;DABM-1964
139;DR077;Daun tespong, segar;81;70;2,9;0,3;13,9;2,3;1,9;155;65;2,5;72;-;0,15;0,9;-;171;2.500;0,05;0,7;1,4;21;60;Tunggal;Sayur;DABM-1964
140;FR016;Domba, daging, gemuk, segar;55,8;317;15,7;27,7;-;-;0,8;9;157;2,4;64;242,1;0,11;3,7;-;-;-;0,14;0,23;6,5;-;100;Tunggal;Daging;DABM-1964
141;FR017;Domba, daging, kurus, segar;66,3;202;17,1;14,8;-;-;1,8;10;191;2,6;90;355;0,08;2,8;-;-;-;0,15;0,26;5,7;-;100;Tunggal;Daging;DABM-1964
142;FR018;Domba, ginjal, segar;77,8;100;16,6;3,3;1;-;1,3;13;237;9,2;167;296,1;0,48;2,4;348;515;-;0,51;2,35;8;13;100;Tunggal;Daging;DABM-1964
143;ER022;Duku, segar;82;63;1;0,2;16,1;4,3;0,7;18;9;0,9;2;147,5;0,09;0,2;-;-;-;0,05;0,15;1,5;9;64;Tunggal;Buah;DABM-1964
144;ER023;Durian, segar;65;134;2,5;3;28;3,5;8;7;44;1,3;1;601;0,12;0,3;-;146;175;0,1;0,19;136,5;53;22;Tunggal;Buah;DABM-1964
145;DR082;Eceng, segar;93;19;1;0,2;3,8;1,8;2;80;45;3,7;45;634,1;-;-;-;7;1.000;0,08;0,1;0,7;50;70;Tunggal;Sayur;DABM-1964
146;ER025;Embacang, segar;72,5;98;1,4;0,2;25,4;1,9;0,5;21;15;0,5;3;250,9;0,13;0,1;-;2.533;1.218;0,03;0,09;0,7;56;65;Tunggal;Buah;DABM-1964
147;CP024;Emping (kerupuk melinjo);13;345;12;1,5;71,5;-;28;100;400;5;-;-;-;-;-;-;-;0,2;-;-;-;100;Olahan;Kacang;DABM-1964
148;ER027;Erbis, segar;80;70;0,6;-;18,9;7,7;0,5;11;50;1,1;21;257,1;0,06;0,1;-;549;10;-;0,1;1,1;16;33;Tunggal;Buah;DABM-1964
149;JP001;Es krim;62,1;210;4;12,5;20,6;-;0,8;123;99;0,1;78;193,4;-;0,7;158;0,2;-;0,04;0,23;0,1;1;100;Olahan;Susu;DABM-1964
150;DR083;Gambas (oyong), segar;94,5;19;0,8;0,2;4,1;1,3;0,4;19;33;0,9;23;109,1;-;0,1;-;17;380;0,03;-;0,4;8;85;Tunggal;Sayur;DABM-1964
151;ER028;Gandaria masak;80,8;68;0,7;0,1;18;2,2;0,4;9;20;1;3;129;-;-;-;329;1.020;0,03;0,07;0,7;111;70;Tunggal;Buah;DABM-1964
152;DR084;Genjer, segar;90;35;1,7;0,2;7,7;2,5;0,4;62;33;2,1;64;905,8;-;-;-;-;3.800;0,07;0,1;1,1;54;70;Tunggal;Sayur;DABM-1964
153;FP005;Ham;42;384;16,9;35;0,3;-;5,8;10;136;2,5;112;819,3;0,11;0,4;-;-;-;0,7;0,95;9,7;-;100;Olahan;Daging;DABM-1964
154;JP002;Hangop;84;65;10;1;3,5;-;1,5;180;190;0,2;126;374,4;-;-;-;22;-;0,03;0,43;0,2;-;100;Olahan;Susu;DABM-1964
155;AP011;Jagung kuning, tepung;12;355;9,2;3,9;73,7;7,2;1,2;10;256;2,4;11;24,4;0,23;1,7;-;-;510;0,38;0,02;0,3;-;100;Olahan;Serealia;DABM-1964
156;DR085;Jagung muda / semi, segar;89,5;35;2,2;0,1;7,4;1,9;0,8;7;100;0,5;353;230,2;0,1;0,8;-;23;200;0,08;0,16;0,9;8;100;Tunggal;Sayur;DABM-1964
157;NR018;Jahe, segar;55;51;1,5;1;10,1;12;1,2;21;39;1,6;12;441,7;0,48;0,7;-;-;9;0,02;0,17;3,3;4;97;Tunggal;Bumbu;DABM-1964
158;AR019;Jali, mentah;23;324;11;4;61;3,1;1;213;176;11;24;-;0,1;0,4;-;-;-;0,14;0,08;1,8;-;90;Tunggal;Serealia;DABM-1964
159;ER030;Jambu air, segar;87;46;0,6;0,2;11,8;2,1;0,8;8;9;1,1;11;321,2;-;0,1;-;92;-;0,02;0,38;4,6;5;90;Tunggal;Buah;DABM-1964
160;ER031;Jambu biji;86;49;0,9;0,3;12,2;2,4;0,6;14;28;1,1;10;52,8;0,02;0,3;-;27;25;0,02;0,03;0,8;87;82;Tunggal;Buah;DABM-1964
161;ER034;Jambu monyet, segar;82,6;64;0,7;0,6;15,8;1,2;0,3;4;13;0,5;12;107,8;-;-;-;1.604;25;0,02;-;2;197;90;Tunggal;Buah;DABM-1964
162;AR021;Jampang huma, mentah;11,7;350;6,2;1,4;78,2;1,7;2,5;329;254;5,3;53;396,7;0,7;1,6;-;33;-;0,51;0,3;0,7;-;100;Tunggal;Serealia;DABM-1964
163;DR087;Jamur kuping, kering;14,9;294;16;0,9;64,6;46,5;3,6;51;223;6,7;174;726,1;0,29;5,5;-;11;-;0,11;0,6;2,7;-;100;Tunggal;Sayur;DABM-1964
164;DR088;Jamur kuping, segar;93,7;21;3,8;0,6;0,9;5,1;1;3;94;1,7;17;33,4;0,19;0,1;-;1;-;0,1;0,09;0,1;5;100;Tunggal;Sayur;DABM-1964
165;DR092;Jantung pisang, segar;90,2;32;1,2;0,3;7,1;3,2;1,2;30;50;0,1;3;524;0,09;0,3;-;201;170;0,05;0,03;0,8;10;25;Tunggal;Sayur;DABM-1964
166;AR020;Jawawut, mentah;11,9;364;9,7;3,5;73,4;8,2;1,5;28;311;5,3;7;255,1;0,45;1,5;-;33;-;0,33;0,28;4,5;-;100;Tunggal;Serealia;DABM-1964
167;ER035;Jeruk bali, segar;86,3;48;0,6;0,2;12,4;0,8;0,5;23;27;0,5;21;366,1;171,25;0,1;-;33;20;0,04;-;0,4;43;62;Tunggal;Buah;DABM-1964
168;ER037;Jeruk garut-keprok;87,3;44;0,8;0,3;10,9;1,6;0,7;33;23;0,4;5;518,1;169,3;0,2;-;0,3;420;0,07;0,03;0,2;31;71;Tunggal;Buah;DABM-1964
169;ER039;Jeruk manis, segar;87,2;45;0,9;0,2;11,2;1,4;0,5;33;23;0,4;4;472,1;160;0,2;-;0,3;190;0,08;0,03;0,2;49;72;Tunggal;Buah;DABM-1964
170;DR094;Jotang, segar;89;34;1,9;0,3;7,1;3,5;1,7;162;41;4;59;388,5;0,3;1,2;-;2;3.918;0,03;-;0,4;20;70;Tunggal;Sayur;DABM-1964
171;CR001;Kacang arab, kering;11,6;330;23,8;1,4;60,2;17,4;3;57;388;4,7;24;874,3;0,85;3,4;-;40;140;0,77;0,21;1,5;2;100;Tunggal;Kacang;DABM-1964
172;CR005;Kacang bogor, kering;10;370;16;6;65;26,3;3;85;264;4,2;44;868,8;1,48;2,7;-;-;-;0,18;0,26;-;-;100;Tunggal;Kacang;DABM-1964
173;CR007;Kacang endel, biji, kering;14;331;25;1;58;23,6;2;80;400;5;12;1.322,40;0,68;2,7;-;-;-;0,3;0,75;2,3;-;95;Tunggal;Kacang;DABM-1964
174;CR009;Kacang galing, segar;12;336;23,1;1,7;59,5;-;3,8;80;400;5;-;-;-;-;-;-;-;0,6;-;-;-;95;Tunggal;Kacang;DABM-1964
175;CR011;Kacang gude, biji, segar;70,3;114;7;0,6;20,8;4,4;2,3;3;122;1,5;4;480,5;0,12;0,9;-;-;70;0,37;0,07;0,8;43;100;Tunggal;Kacang;DABM-1964
176;CR016;Kacang kapri, segar;74,3;98;6,7;0,4;17,7;6,2;0,9;22;122;1,9;6;296,6;0,21;1,5;-;-;680;0,34;0,16;2,5;26;45;Tunggal;Kacang;DABM-1964
177;CR018;Kacang kedelai, segar;20;286;30,2;15,6;30,1;-;4,1;196;506;6,9;28;870,9;1,24;3,6;-;-;95;0,93;0,26;1,8;-;100;Tunggal;Kacang;DABM-1964
178;CR029;Kacang panjang, biji, kering;12,2;357;17,3;1,5;68,6;10,6;0,4;163;437;6,9;16;1.109,40;0,35;2,8;-;2.182;-;0,57;0,98;7,1;2;100;Tunggal;Kacang;DABM-1964
179;CP011;Kacang tanah rebus dg kulit;40,2;360;13,5;31,2;12,8;-;2,3;42;177;1,4;32;483;1,6;2;-;-;-;0,44;0,13;9;5;43;Olahan;Kacang;DABM-1964
180;CR031;Kacang tanah sangan tanpa selaput;2,6;559;26,9;44,2;23,6;2,6;2,7;74;393;1,9;33;202,3;520,4;1,7;-;-;-;0,3;29,47;8;-;100;Tunggal;Kacang;DABM-1964
181;FR019;Kambing, daging, segar;70,3;149;16,6;9,2;-;-;3,9;11;124;1;96;268,7;0,31;4,9;-;-;-;0,09;0,23;5;-;100;Tunggal;Daging;DABM-1964
182;DR102;Kapri muda, segar;86,8;45;3,3;0,2;9;1,8;0,7;51;85;1;2;118,4;0,09;0,7;-;72;440;0,2;0,1;0,9;49;80;Tunggal;Sayur;DABM-1964
183;NP005;Kecap;63;71;5,7;1,3;9;-;21;123;96;5,7;1.114;-;0,04;-;-;-;-;-;-;-;-;100;Olahan;Bumbu;DABM-1964
184;DR104;Kecipir muda, segar;90,4;32;2,9;0,2;5,8;5,5;0,7;63;37;0,3;3;103,8;0,18;0,4;-;261;595;0,24;0,11;0,7;19;96;Tunggal;Sayur;DABM-1964
185;ER043;Kedondong masak, segar;88;46;1;0,1;10,3;2,6;0,6;15;22;2,8;2;216,2;0,03;0,1;-;164;233;0,08;0,23;0,3;30;58;Tunggal;Buah;DABM-1964
186;JP003;Keju;38,5;326;22,8;20,3;13,1;-;5,3;777;338;1,5;1.410;82,7;0,03;3,1;227;128;-;0,01;0,37;0,1;1;100;Olahan;Susu;DABM-1964
187;CP036;Keju kacang tanah (peanut butter);3;590;27;49;20,9;1,6;0,1;60;360;2;355;492,4;0,57;2,7;-;-;-;0,3;0,2;16,2;-;100;Olahan;Kacang;DABM-1964
188;QR001;Kelapa muda, air, segar;95,5;17;0,2;0,1;3,8;-;0,4;15;8;0,2;1;149;0,04;0,1;-;-;-;-;-;-;1;100;Tunggal;Minuman;DABM-1964
189;ER046;Kelapa muda, daging, segar;83,3;68;1;0,9;14;-;0,8;7;30;1;18;564,6;0,14;0,4;-;-;-;0,06;0,02;0,6;4;53;Tunggal;Buah;DABM-1964
190;KR001;Kelapa setengah tua, daging, segar;70;180;4;15;10;2,4;1;8;55;1,3;4;317,8;0,29;2,9;-;-;10;0,05;0,01;0,1;4;53;Tunggal;Lemak;DABM-1964
191;KR002;Kelapa tua, daging, segar;46,9;359;3,4;34,7;14;4,7;1;21;98;2;3;293,9;0,44;1,1;-;-;-;0,1;-;-;2;53;Tunggal;Lemak;DABM-1964
192;DR106;Kelawi,kluwih, segar;70;118;1,5;0,3;27,2;5;1;28;32;0,9;2;500,9;0,09;0,1;-;-;20;0,1;0,03;0,9;19;77;Tunggal;Sayur;DABM-1964
193;ER047;Kemang, segar;86,5;48;1;0,2;11,9;1,7;0,4;10;24;0,1;2;88,6;0,04;0,1;-;318;6;0,08;0,01;0,3;58;65;Tunggal;Buah;DABM-1964
194;DR113;Kembang Kol;91,7;25;2,4;0,2;4,9;1,6;0,8;22;72;1,1;47;187;0,04;0,3;-;24;90;0,11;0,09;0,6;69;57;Tunggal;Sayur;DABM-1964
195;DR107;Kembang turi, segar;87,4;51;1,8;0,6;9,6;5;0,6;23;29;0,9;22;275,3;0,15;0,9;-;201;105;0,13;0,12;0,6;41;83;Tunggal;Sayur;DABM-1964
196;NR019;Kemiri;7;675;19;63;8;3;3;80;200;2;25;430,7;0,23;0,8;-;-;-;0,06;0,06;0,4;-;100;Tunggal;Bumbu;DABM-1964
197;CR038;Kenari, kering;3;657;15;66;13;-;3;92;691;7,7;3;505,8;0,97;3;-;-;-;0,42;0,09;0,5;-;100;Tunggal;Kacang;DABM-1964
198;JR001;Kepala susu - krim, segar;72,5;204;2,6;20;4;-;0,9;97;77;0,1;-;-;-;-;252;191;-;0,03;0,2;0,1;1;100;Tunggal;Susu;DABM-1964
199;FR021;Kerbau, daging, segar;80;79;18,7;0,5;-;-;0,8;14;221;3,3;91;273;0,13;1,6;-;-;-;0,06;0,17;5;-;100;Tunggal;Daging;DABM-1964
200;DR108;Kerokot, segar;93;26;1,7;0,4;3,8;1;1,1;103;39;3,6;4;240,5;0,23;0,9;-;0,2;2.550;0,03;0,09;0,2;25;80;Tunggal;Sayur;DABM-1964
201;ER048;Kesemek, segar;78,2;78;0,8;0,4;20;0,6;0,6;6;26;0,3;0,3;34,5;0,13;0,1;-;109;2.710;0,05;-;0,1;11;97;Tunggal;Buah;DABM-1964
202;NR020;Ketumbar, kering;11,2;418;14,1;16,1;54,2;12,3;4,4;630;370;17,9;91;1.787,00;0,95;4,6;-;75;1.570;0,2;0,35;1,8;-;100;Tunggal;Bumbu;DABM-1964
203;NR021;Kluwek;51;310;10;24;13,5;-;1,5;40;100;2;-;-;-;-;-;-;-;0,15;-;-;30;80;Tunggal;Bumbu;DABM-1964
204;ER049;Kokosan, segar;85;86;1,6;0,2;13;1,4;0,2;22;38;1,3;2;118,3;0,08;0,2;-;-;20;0,04;0,04;1,5;3;64;Tunggal;Buah;DABM-1964
205;DR114;Kol merah, kol putih;92,4;29;1,4;0,2;5,3;1,9;0,9;46;31;0,5;28;236,8;0,29;0,3;-;46;80;0,06;0,07;0,3;50;75;Tunggal;Sayur;DABM-1964
206;CR041;Koro benguk, biji, kering;15;332;24;3;55;5,6;3;30;200;2;42;389,2;1,25;8,7;-;-;70;0,3;0,12;1,7;-;95;Tunggal;Kacang;DABM-1964
207;CR042;Koro kerupuk, biji, segar;67,2;125;8,3;0,7;22,1;2,2;1,7;17;12;2,7;16;150,3;0,48;3,4;-;-;80;0,11;0,04;1,1;31;68;Tunggal;Kacang;DABM-1964
208;DR115;Koro kerupuk, polong;67,2;128;8,3;0,7;22,1;-;1,7;17;12;2,7;-;-;-;-;-;-;80;0,11;-;-;31;68;Tunggal;Sayur;DABM-1964
209;CR043;Koro loke, biji, segar;88,6;33;2,7;0,2;7,9;3,5;0,6;60;40;2;2;38,6;0,09;0,4;-;-;40;0,1;-;0,2;-;95;Tunggal;Kacang;DABM-1964
210;CR045;Koro wedus, biji, kering;11,8;338;22,2;1,5;61;5,8;3,5;88;395;3,5;43;403,8;1,3;9,1;-;-;-;0,62;0,12;1,8;-;100;Tunggal;Kacang;DABM-1964
211;DR116;Koro wedus, polong;88;46;3;0,3;7,9;3,3;0,8;56;47;1,1;2;249,3;0,09;0,4;-;66;870;0,09;0,09;0,5;17;70;Tunggal;Sayur;DABM-1964
212;DR118;Kucai muda (Lokio), segar;86;42;3,8;0,6;7,8;4,9;1,8;76;91;2,5;22;449,1;0,11;0,5;-;2.744;500;0,11;0,2;1,8;59;100;Tunggal;Sayur;DABM-1964
213;DR117;Kucai, segar;86,3;45;2,2;0,3;10,3;4,8;0,9;52;50;1,1;21;439,5;0,11;0,5;-;2.685;40;0,11;0,2;1,8;17;52;Tunggal;Sayur;DABM-1964
214;FR022;Kuda, daging, segar;76;113;18,1;4,1;0,9;-;0,9;10;150;2,7;46;315,7;0,13;2,5;-;-;-;0,07;0,07;3;-;100;Tunggal;Daging;DABM-1964
215;NR022;Kunyit, segar;84,9;69;2;2,7;9,1;0,6;1,3;24;78;3,3;6;406,7;0,05;0,4;-;12;-;0,03;0,02;0,4;1;78;Tunggal;Bumbu;DABM-1964
216;CP046;Kwaci;9,9;515;30,6;42,1;13,8;13,6;3,7;54;312;6,2;124;448,6;0,65;9,7;-;-;-;0,02;0,19;0,3;-;35;Olahan;Kacang;DABM-1964
217;JP004;Kwark (Quark);59;242;19;17;3;-;2;300;350;0,5;37;72,7;0,01;0,2;173;-;-;0,03;0,38;0;-;100;Olahan;Susu;DABM-1964
218;DR121;Labu air, segar;95;19;0,6;0,2;3,8;0,6;0,4;12;18;0,6;2;168,2;0,03;0,8;-;11;70;0,04;0,02;0,4;10;80;Tunggal;Sayur;DABM-1964
219;DR123;Labu siam, segar;92,3;30;0,6;0,1;6,7;6,2;0,3;14;25;0,5;3;167,1;0,16;1;-;48;20;0,02;-;0,6;18;83;Tunggal;Sayur;DABM-1964
220;DR124;Labu waluh, segar;91,2;32;1,1;0,1;6,6;0,5;1;45;64;1,4;1;356,2;0,13;0,3;-;712;180;0,08;0,12;0,6;52;77;Tunggal;Sayur;DABM-1964
221;CR046;Lamtoro biji, muda, segar;77,4;85;5,7;0,3;15,4;10,8;1,2;180;53;2,7;35;485,7;0,02;1,4;-;-;423;0,08;1,15;1;15;100;Tunggal;Kacang;DABM-1964
222;CR047;Lamtoro biji, tua, segar;61,4;148;10,6;0,5;26,2;17;1,3;155;59;2,2;28;628,6;0,03;2,4;-;-;416;0,23;0,49;2,8;20;100;Tunggal;Kacang;DABM-1964
223;ER051;Langsat, segar;84,1;56;0,9;0,2;14,3;1,4;0,5;17;24;1,1;1;232;0,09;0,2;-;-;-;0,07;-;0,8;9;64;Tunggal;Buah;DABM-1964
224;KR004;Lemak babi (bacon);20;626;9,1;65;1,1;-;4,8;13;108;0,8;-;-;-;0,9;-;-;-;0,38;-;-;-;100;Tunggal;Lemak;DABM-1964
225;KR003;Lemak babi (lard);-;902;-;100;-;-;-;-;-;-;-;-;9;0,1;-;-;-;-;-;-;-;100;Tunggal;Lemak;DABM-1964
226;KR006;Lemak kerbau (lemak sapi);5;818;1,5;90;-;-;3,5;-;-;-;29;25,8;-;-;-;283;-;-;-;0,7;-;100;Tunggal;Lemak;DABM-1964
227;DR126;Lobak, segar;94,1;21;0,9;0,1;4,2;1,4;0,7;35;26;0,6;49;109,3;0,03;0,2;-;-;10;0,03;0,04;0,3;32;87;Tunggal;Sayur;DABM-1964
228;AP019;Maizena, tepung;14;341;0,3;-;85;7;0,7;20;30;1,5;6;9;0,22;1,6;-;-;-;-;0,09;1,3;-;100;Olahan;Serealia;DABM-1964
229;AP020;Makaroni, mentah;11,7;353;8,7;0,4;78,7;4,9;2,5;20;80;0,3;5;-;0,28;1,4;-;-;-;0,1;0,13;2,2;-;100;Olahan;Serealia;DABM-1964
230;ER056;Mangga gedung, segar;87,4;44;0,7;0,2;11,2;1,6;0,5;13;10;0,2;2;83,6;0,04;0,1;-;113;16.400;0,08;0,01;0,3;30;65;Tunggal;Buah;DABM-1964
231;ER057;Mangga golek, segar;82,2;63;0,5;0,2;16,7;2,3;0,4;14;10;0,7;3;118,1;0,05;0,1;-;160;3.715;0,08;0,02;0,4;65;65;Tunggal;Buah;DABM-1964
232;ER058;Mangga harumanis, segar;86,6;46;0,4;0,2;11,9;1,7;0,8;15;9;0,2;2;88,9;0,04;0,1;-;120;1.200;0,08;0,01;0,3;6;65;Tunggal;Buah;DABM-1964
233;ER059;Mangga indramayu, segar;80,2;72;0,8;0,2;18,7;2,5;0,1;13;10;1,9;3;131,4;0,06;0,1;-;178;2.900;0,06;0,02;0,5;16;65;Tunggal;Buah;DABM-1964
234;ER060;Mangga kopek, segar;84,5;56;0,4;0,2;14,6;2;0,3;16;10;1,7;2;102,9;0,04;0,1;-;139;6.520;0,03;0,01;0,4;27;65;Tunggal;Buah;DABM-1964
235;ER063;Mangga muda, segar;83,7;59;0,5;0,4;15,1;-;0,3;12;11;0,4;2;108,2;0,05;0,1;-;146;85;0,06;0,02;0,4;2;73;Tunggal;Buah;DABM-1964
236;ER064;Manggis, segar;83;63;0,6;0,6;15,6;1,5;0,2;8;12;0,8;10;61,9;0,1;0,1;-;-;-;0,03;0,03;0,3;5;29;Tunggal;Buah;DABM-1964
237;KP001;Margarin;15,5;720;0,6;81;0,4;-;2,5;20;16;-;760;25,9;-;0;606;633;-;-;-;-;-;100;Olahan;Lemak;DABM-1964
238;DR128;Melinjo, segar;80;66;5;0,7;13,3;-;1;163;75;2,8;-;-;-;-;-;-;1.000;0,1;-;-;100;60;Tunggal;Sayur;DABM-1964
239;ER068;Menteng, segar;79;65;1,7;0,3;16,1;-;2,9;13;20;0,8;-;-;-;-;-;-;-;-;-;-;-;64;Tunggal;Buah;DABM-1964
240;NR023;Merica, kering;12,9;365;11,5;6,8;64,4;1;4,4;460;200;16,4;4;99,7;0,89;1,1;-;0,3;-;0,2;0,1;2,5;-;100;Tunggal;Bumbu;DABM-1964
241;AP021;Mi basah;80;88;0,6;3,3;14;0,1;2,1;14;13;6,8;63;13,5;0,06;0,4;-;-;-;-;-;-;-;100;Olahan;Serealia;DABM-1964
242;KR007;Minyak hiu, hati;-;902;-;100;-;-;-;-;-;-;-;-;-;-;21.212;-;-;-;-;-;-;100;Tunggal;Lemak;DABM-1964
243;KR008;Minyak ikan;-;902;-;100;-;-;-;-;-;-;-;-;-;-;24.242;-;-;-;-;-;-;100;Tunggal;Lemak;DABM-1964
244;KR009;Minyak kacang tanah;-;902;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Tunggal;Lemak;DABM-1964
245;KR011;Minyak kelapa;-;870;1;98;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Tunggal;Lemak;DABM-1964
246;KR012;Minyak kelapa sawit;-;884;-;100;-;-;-;-;-;-;-;-;-;-;-;18.181;-;-;-;-;-;100;Tunggal;Lemak;DABM-1964
247;ER071;Nangka masak pohon, segar;70;106;1,2;0,3;27,6;3,7;2,7;20;19;0,9;2;407;246,58;1,4;-;149;330;0,07;0,1;1;7;28;Tunggal;Buah;DABM-1964
248;DR130;Nangka muda, segar;85,4;57;2;0,4;11,3;8,3;0,9;45;29;0,5;1;246,5;0,04;0,1;-;21;25;0,07;0,06;0,7;9;80;Tunggal;Sayur;DABM-1964
